Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
green-snowboard-1,Green Snowboard,,retail-insights-lab,,"","",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,100.00,,true,true,,,,,false,,,,kg,,,active
bamboo-desk-organizer,Bamboo Desk Organizer,"<p>Keep your workspace tidy and organized with our elegant Bamboo Desk Organizer. Made from sustainable bamboo, this multi-compartment organizer provides dedicated spaces for all your office essentials while adding natural beauty to your desk.</p><ul>
<li>Sustainable bamboo construction</li>
<li>Multiple compartments for pens, papers, and accessories</li>
<li>Smooth finish with natural wood grain</li>
<li>Compact design fits any desk size</li>
<li>Easy assembly with included hardware</li>
</ul>",retail-insights-lab,Uncategorized,Office Supplies,"bamboo, desk-organizer, office-supplies, organization, sustainable",true,Title,Default Title,,,,,,,,BD-ORG-015,0.0,shopify,5,deny,manual,1299.00,,true,true,"",,,,false,Bamboo Desk Organizer - Sustainable Office Storage,"Organize your workspace with our sustainable Bamboo Desk Organizer. Multiple compartments, natural bamboo construction, compact design.",,kg,,,active
insulated-stainless-steel-water-bottle,Insulated Stainless Steel Water Bottle,"<p>Stay hydrated with our premium Insulated Stainless Steel Water Bottle. Double-wall vacuum insulation keeps drinks cold for 24 hours or hot for 12 hours, making it perfect for any adventure or daily routine.</p><ul>
<li>Double-wall vacuum insulation technology</li>
<li>750ml capacity with wide mouth opening</li>
<li>18/8 food-grade stainless steel</li>
<li>Leak-proof sport cap design</li>
<li>BPA-free and eco-friendly</li>
</ul>",retail-insights-lab,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Sports & Recreation,"eco-friendly, insulated, sports, stainless-steel, water-bottle",true,Title,Default Title,,,,,,,,SS-WB-014,0.0,shopify,5,deny,manual,1899.00,,true,true,"",,,,false,Insulated Stainless Steel Water Bottle - 750ml,"Keep drinks at perfect temperature with our insulated stainless steel water bottle. 750ml capacity, leak-proof design, BPA-free materials.",,kg,,,active
ultrasonic-essential-oil-diffuser,Ultrasonic Essential Oil Diffuser,"<p>Transform your space into a tranquil oasis with our Ultrasonic Essential Oil Diffuser. This elegant device disperses your favorite essential oils while adding moisture to the air, creating the perfect ambiance for relaxation.</p><ul>
<li>Ultrasonic technology for quiet operation</li>
<li>300ml water tank capacity</li>
<li>7 LED color-changing lights</li>
<li>Auto shut-off safety feature</li>
<li>Timer settings: 1H, 3H, 6H, continuous</li>
</ul>",retail-insights-lab,Home & Garden > Decor > Home Fragrance Accessories > Fragrance Diffusers > Ultrasonic Diffusers,Home & Garden,"aromatherapy, diffuser, essential-oils, home-wellness, ultrasonic",true,Title,Default Title,,,,,,,,EO-DIF-013,0.0,shopify,5,deny,manual,2499.00,,true,true,"",,,,false,Ultrasonic Essential Oil Diffuser - Aromatherapy,"Create a relaxing atmosphere with our Ultrasonic Essential Oil Diffuser. 300ml capacity, LED lights, timer settings, and quiet operation.",,kg,,,active
blue-light-reading-glasses,Blue Light Reading Glasses,"<p>Protect your eyes and enhance your reading experience with our stylish Blue Light Reading Glasses. Designed to reduce eye strain from digital screens while providing clear magnification for reading.</p><ul>
<li>Blue light filtering technology</li>
<li>Anti-reflective coating</li>
<li>Lightweight acetate frames</li>
<li>Available in +1.0 to +3.0 magnification</li>
<li>Comfortable nose pads and temples</li>
</ul>",retail-insights-lab,Health & Beauty > Personal Care > Vision Care > Eyeglasses,Health & Personal Care,"accessories, blue-light, eye-protection, health, reading-glasses",true,Title,Default Title,,,,,,,,BL-RG-012,0.0,shopify,3,deny,manual,1599.00,,true,true,"",,,,false,Blue Light Reading Glasses - Eye Strain Protection,"Reduce eye strain with our Blue Light Reading Glasses. Anti-reflective coating, lightweight frames, multiple magnification options available.",,kg,,,active
handcrafted-ceramic-coffee-mug,Handcrafted Ceramic Coffee Mug,"<p>Start your morning right with our beautifully Handcrafted Ceramic Coffee Mug. Each mug is individually made by skilled artisans, featuring a unique glaze and comfortable grip that makes every sip special.</p><ul>
<li>Handcrafted by skilled ceramic artisans</li>
<li>Unique reactive glaze finish</li>
<li>350ml capacity perfect for coffee or tea</li>
<li>Microwave and dishwasher safe</li>
<li>Comfortable ergonomic handle</li>
</ul>",retail-insights-lab,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home & Kitchen,"artisan, ceramic, coffee-mug, handcrafted, kitchen",true,Title,Default Title,,,,,,,,CM-HC-011,0.0,shopify,2,deny,manual,899.00,,true,true,"",,,,false,Handcrafted Ceramic Coffee Mug - Artisan Made,"Enjoy your morning coffee in our handcrafted ceramic mug. Unique glaze finish, 350ml capacity, microwave safe. Made by skilled artisans.",,kg,,,active
aromatherapy-scented-candle-set,Aromatherapy Scented Candle Set,"<p>Create a relaxing atmosphere with our luxurious Aromatherapy Scented Candle Set. This collection of three premium soy wax candles features calming scents that transform any space into a peaceful sanctuary.</p><ul>
<li>Set of 3 premium soy wax candles</li>
<li>Lavender, Vanilla, and Eucalyptus scents</li>
<li>40+ hours burn time per candle</li>
<li>Natural cotton wicks</li>
<li>Beautiful gift packaging included</li>
</ul>",retail-insights-lab,Home & Garden > Decor > Home Fragrances > Candles,Home & Garden,"aromatherapy, candles, home-decor, relaxation, soy-wax",true,Title,Default Title,,,,,,,,AC-SET-010,0.0,shopify,4,deny,manual,1499.00,,true,true,"",,,,false,Aromatherapy Scented Candle Set - Soy Wax Candles,"Relax with our Aromatherapy Scented Candle Set. 3 premium soy wax candles with lavender, vanilla, and eucalyptus scents. 40+ hours burn time.",,kg,,,active
premium-yoga-mat,Premium Yoga Mat,"<p>Transform your yoga practice with our Premium Yoga Mat. Designed for comfort, stability, and durability, this mat provides the perfect foundation for all your yoga sessions and fitness routines.</p><ul>
<li>6mm thick for superior cushioning</li>
<li>Non-slip textured surface</li>
<li>Eco-friendly TPE material</li>
<li>Lightweight and portable design</li>
<li>Easy to clean and maintain</li>
</ul>",retail-insights-lab,Sporting Goods > Fitness & General Exercise Equipment > Yoga & Pilates > Yoga & Pilates Mats,Sports & Recreation,"eco-friendly, exercise-mat, fitness, non-slip, yoga",true,Title,Default Title,,,,,,,,YM-PRM-009,0.0,shopify,5,deny,manual,1799.00,,true,true,"",,,,false,Premium Yoga Mat - Non-Slip Exercise Mat,"Practice yoga comfortably with our Premium Yoga Mat. 6mm thick, non-slip surface, eco-friendly materials. Perfect for yoga and fitness.",,kg,,,active
organic-green-tea,Organic Green Tea,"<p>Discover the pure taste and health benefits of our premium Organic Green Tea. Sourced from certified organic tea gardens, each cup delivers antioxidants and natural energy to fuel your day.</p><ul>
<li>100% certified organic tea leaves</li>
<li>Rich in antioxidants and natural compounds</li>
<li>50 tea bags per package</li>
<li>Smooth, refreshing taste</li>
<li>Sustainably sourced and packaged</li>
</ul>",retail-insights-lab,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Food & Beverages,"antioxidants, beverages, green-tea, healthy, organic",true,Title,Default Title,,,,,,,,OGT-50-008,0.0,shopify,6,deny,manual,649.00,,true,true,"",,,,false,Organic Green Tea - Premium Antioxidant Rich Tea,"Enjoy premium Organic Green Tea with natural antioxidants. 50 tea bags of certified organic, sustainably sourced green tea leaves.",,kg,,,active
wireless-charging-pad,Wireless Charging Pad,"<p>Experience the convenience of wireless charging with our sleek Wireless Charging Pad. Compatible with all Qi-enabled devices, this charging pad delivers fast, efficient charging without the hassle of cables.</p><ul>
<li>Universal Qi wireless charging compatibility</li>
<li>Fast charging up to 10W output</li>
<li>LED indicator for charging status</li>
<li>Non-slip surface design</li>
<li>Compact and portable</li>
</ul>",retail-insights-lab,Electronics > Electronics Accessories > Power > Power Adapters & Chargers > Wireless Chargers,Electronics,"electronics, fast-charging, portable, qi-compatible, wireless-charging",true,Title,Default Title,,,,,,,,WC-PAD-007,0.0,shopify,3,deny,manual,2199.00,,true,true,"",,,,false,Wireless Charging Pad - Fast Qi Compatible Charger,"Charge your devices wirelessly with our fast Qi-compatible charging pad. Universal compatibility, LED indicators, and sleek design.",,kg,,,active
bamboo-water-bottle,Bamboo Water Bottle,"<p>Stay hydrated sustainably with our eco-friendly Bamboo Water Bottle. Made from natural bamboo with a leak-proof design, this bottle combines environmental responsibility with practical functionality.</p><ul>
<li>100% natural bamboo construction</li>
<li>Leak-proof stainless steel cap</li>
<li>500ml capacity perfect for daily use</li>
<li>Lightweight and durable</li>
<li>Easy to clean and maintain</li>
</ul>",retail-insights-lab,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Home & Garden,"bamboo, eco-friendly, hydration, sustainable, water-bottle",true,Title,Default Title,,,,,,,,BB-WB-006,0.0,shopify,1,deny,manual,1299.00,,true,true,"",,,,false,Bamboo Water Bottle - Eco-Friendly Hydration,"Stay hydrated with our sustainable Bamboo Water Bottle. Natural bamboo construction, leak-proof design, and eco-friendly materials.",,kg,,,active
noise-cancelling-headphones,Noise Cancelling Headphones,"<p>Immerse yourself in pure sound with our premium Noise Cancelling Headphones. Advanced noise cancellation technology blocks out distractions, delivering crystal-clear audio for music, calls, and focus sessions.</p><ul>
<li>Advanced active noise cancellation</li>
<li>Premium sound quality</li>
<li>Comfortable over-ear design</li>
<li>Long battery life</li>
<li>Perfect for travel, work, and relaxation</li>
</ul>",retail-insights-lab,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > Over-Ear Headphones,Electronics,"audio, electronics, headphones, noise-cancelling, premium",true,Title,Default Title,,,,,,,,HP-NC-005,0.0,shopify,2,deny,manual,3999.00,,true,true,"",,,,false,Noise Cancelling Headphones - Premium Audio Experience,"Experience superior sound with our Noise Cancelling Headphones. Advanced noise cancellation, premium audio quality, and all-day comfort.",,kg,,,active
eco-leather-wallet,Eco Leather Wallet,"<p>Carry your essentials in style with our Eco Leather Wallet. Made from sustainable, eco-friendly leather alternatives, this wallet combines environmental consciousness with timeless design and functionality.</p><ul>
<li>Made from sustainable eco-friendly materials</li>
<li>Multiple card slots and compartments</li>
<li>Slim, compact design</li>
<li>Durable and long-lasting</li>
<li>Perfect for everyday use</li>
</ul>",retail-insights-lab,"Apparel & Accessories > Handbags, Wallets & Cases > Wallets & Money Clips > Wallets",Accessories,"accessories, eco-friendly, leather, sustainable, wallet",true,Title,Default Title,,,,,,,,WL-EC-004,0.0,shopify,4,deny,manual,799.00,,true,true,"",,,,false,Eco Leather Wallet - Sustainable Style & Function,"Shop our Eco Leather Wallet made from sustainable materials. Stylish, functional, and environmentally conscious. Perfect for everyday carry.",,kg,,,active
smartwatch-edge-x,Smartwatch Edge X,"<p>Stay connected and track your fitness goals with the Smartwatch Edge X. This cutting-edge wearable technology combines style, functionality, and advanced features to keep you ahead of the curve.</p><ul>
<li>Advanced fitness tracking capabilities</li>
<li>Long-lasting battery life</li>
<li>Water-resistant design</li>
<li>Smart notifications and connectivity</li>
<li>Sleek, modern design</li>
</ul>",retail-insights-lab,Apparel & Accessories > Jewelry > Smart Watches,Electronics,"electronics, fitness, smartwatch, technology, wearable",true,Title,Default Title,,,,,,,,SW-EDG-003,0.0,shopify,1,deny,manual,5499.00,,true,true,"",,,,false,Smartwatch Edge X - Advanced Fitness & Connectivity,"Experience the future with Smartwatch Edge X. Advanced fitness tracking, smart notifications, and sleek design. Stay connected and achieve your goals.",,kg,,,active
minimalist-hoodie,Minimalist Hoodie,"<p>Embrace simplicity with our Minimalist Hoodie. Crafted with premium materials and a clean, understated design, this hoodie is perfect for those who appreciate quality and style without the fuss.</p><ul>
<li>Premium cotton blend for ultimate comfort</li>
<li>Clean, minimalist design</li>
<li>Perfect for layering or wearing alone</li>
<li>Durable construction for long-lasting wear</li>
<li>Available in classic colors</li>
</ul>",retail-insights-lab,Uncategorized,Clothing,"casual, clothing, comfort, hoodie, minimalist",true,Title,Default Title,,,,,,,,HD-MN-002,0.0,shopify,7,deny,manual,1899.00,,true,true,"",,,,false,Minimalist Hoodie - Premium Cotton Blend Comfort,Shop our Minimalist Hoodie featuring premium cotton blend and clean design. Perfect for everyday comfort and style. Quality craftsmanship guaranteed.,,kg,,,active
glow-sneakers,Glow Sneakers,"<p>Step into the future with our innovative Glow Sneakers! These stylish sneakers feature cutting-edge glow technology that makes you stand out in any crowd. Perfect for evening runs, parties, or just making a statement wherever you go.</p><ul>
<li>Premium materials for comfort and durability</li>
<li>Unique glow-in-the-dark design</li>
<li>Available in multiple sizes</li>
<li>Perfect for active lifestyle</li>
</ul>",retail-insights-lab,Apparel & Accessories > Shoes > Sneakers,Footwear,"active, footwear, glow, innovative, sneakers",true,Title,Default Title,,,,,,,,SNK-GL-001,0.0,shopify,6,deny,manual,2999.00,,true,true,"",,,,false,Glow Sneakers - Innovative Light-Up Footwear,Discover our unique Glow Sneakers with cutting-edge light technology. Perfect for evening runs and making a statement. Premium quality and comfort guaranteed.,,kg,,,active
